Date,Team,Opponent,WLD,Goal_Scored,Ball_Possession,Attempts,On_Target,Off_Target,Blocked,Corners,Offsides,Free_Kicks,Saves,Pass_Accuracy,Passes,Distance_Covered_ Kms,Fouls_Committed,Yellow_Card,Yellow_Red,Red,Man_of_the_Match,1st_Goal,Round,PSO,Goals_in_PSO,Own_goals,Own_goal_Time
20.06.2018,Portugal,Morocco,W,1,47,10,2,4,4,5,1,24,4,76,387,105,19,1,0,0,Yes,4,Group Stage,No,0,,
20.06.2018,Morocco,Portugal,L,0,53,16,4,10,2,7,1,20,1,77,466,107,23,1,0,0,No,,Group Stage,No,0,,
20.06.2018,Uruguay,Saudi Arabia,W,1,47,13,4,6,3,3,1,15,3,88,521,101,10,0,0,0,Yes,23,Group Stage,No,0,,
20.06.2018,Saudi Arabia,Uruguay,L,0,53,8,3,3,2,4,2,11,3,86,590,100,13,0,0,0,No,,Group Stage,No,0,,
20.06.2018,Iran,Spain,L,0,30,5,0,5,0,2,2,15,2,69,219,106,14,2,0,0,No,,Group Stage,No,0,,
20.06.2018,Spain,Iran,W,1,70,17,3,6,8,6,1,16,0,89,805,105,14,0,0,0,Yes,54,Group Stage,No,0,,
21.06.2018,Denmark,Australia,D,1,49,10,5,5,0,3,1,5,4,88,458,112,7,2,0,0,Yes,7,Group Stage,No,0,,
21.06.2018,Australia,Denmark,D,1,51,14,5,5,4,5,0,8,5,85,520,114,5,0,0,0,No,38,Group Stage,No,0,,
21.06.2018,France,Peru,W,1,44,12,4,6,2,5,0,16,2,77,405,103,11,2,0,0,Yes,34,Group Stage,No,0,,
21.06.2018,Peru,France,L,0,56,10,2,6,2,3,1,11,3,81,532,102,15,2,0,0,No,,Group Stage,No,0,,
21.06.2018,Argentina,Croatia,L,0,58,10,3,3,4,5,3,26,2,81,505,101,15,3,0,0,No,,Group Stage,No,0,,
21.06.2018,Croatia,Argentina,W,3,42,15,5,6,4,2,3,18,3,80,372,104,23,4,0,0,Yes,53,Group Stage,No,0,,
22.06.2018,Brazil,Costa Rica,W,2,66,23,9,9,5,10,3,14,0,90,732,105,11,2,0,0,Yes,90,Group Stage,No,0,,
22.06.2018,Costa Rica,Brazil,L,0,34,4,0,4,0,1,3,14,7,73,271,109,11,1,0,0,No,,Group Stage,No,0,,
22.06.2018,Nigeria,Iceland,W,2,58,16,4,6,6,6,1,10,3,84,473,100,9,1,0,0,Yes,49,Group Stage,No,0,,
22.06.2018,Iceland,Nigeria,L,0,42,10,3,6,1,5,0,10,2,75,291,106,10,0,0,0,No,,Group Stage,No,0,,
22.06.2018,Serbia,Switzerland,L,1,42,12,3,7,2,3,0,15,3,78,309,116,17,4,0,0,No,5,Group Stage,No,0,,
22.06.2018,Switzerland,Serbia,W,2,58,20,5,8,7,7,3,17,2,87,547,112,12,1,0,0,Yes,52,Group Stage,No,0,,
23.06.2018,Belgium,Tunisia,W,5,52,23,12,8,3,5,3,16,3,84,468,104,12,0,0,0,Yes,6,Group Stage,No,0,,
23.06.2018,Tunisia,Belgium,L,2,48,15,5,6,4,2,3,15,6,82,477,102,13,1,0,0,No,18,Group Stage,No,0,,
23.06.2018,Korea Republic,Mexico,L,1,41,17,6,2,9,7,0,7,3,82,346,99,24,4,0,0,No,90,Group Stage,No,0,,
23.06.2018,Mexico,Korea Republic,W,2,59,13,5,6,2,5,0,24,5,89,485,97,7,0,0,0,Yes,26,Group Stage,No,0,,
23.06.2018,Germany,Sweden,W,2,71,16,5,4,7,8,5,15,5,91,699,111,12,0,1,0,Yes,48,Group Stage,No,0,,
23.06.2018,Sweden,Germany,L,1,29,8,6,1,1,3,2,17,4,77,213,110,13,2,0,0,No,32,Group Stage,No,0,,
24.06.2018,England,Panama,W,6,58,12,7,3,2,3,3,13,1,94,593,99,14,1,0,0,Yes,8,Group Stage,No,0,,
24.06.2018,Panama,England,L,1,42,8,2,5,1,2,0,17,1,88,398,89,13,3,0,0,No,78,Group Stage,No,0,,
24.06.2018,Japan,Senegal,D,2,54,7,3,2,2,2,2,18,5,84,449,105,8,2,0,0,No,34,Group Stage,No,0,,
24.06.2018,Senegal,Japan,D,2,46,14,7,5,2,5,4,10,1,79,338,102,14,3,0,0,Yes,11,Group Stage,No,0,,
24.06.2018,Poland,Colombia,L,0,45,9,2,3,4,7,1,11,0,79,424,107,15,2,0,0,No,,Group Stage,No,0,,
24.06.2018,Colombia,Poland,W,3,55,13,3,5,5,5,1,16,2,82,514,108,10,0,0,0,Yes,40,Group Stage,No,0,,
25.06.2018,Uruguay,Russia,W,3,56,17,7,6,4,4,0,20,1,88,492,101,17,1,0,0,Yes,10,Group Stage,No,0,,
25.06.2018,Russia,Uruguay,L,0,44,3,1,1,1,2,2,17,5,83,355,98,18,1,1,0,No,,Group Stage,No,0,1,23
25.06.2018,Saudi Arabia,Egypt,W,2,61,22,7,10,5,7,1,19,0,90,655,101,7,0,0,0,No,45,Group Stage,No,0,,
25.06.2018,Egypt,Saudi Arabia,L,1,39,8,1,6,1,2,3,8,5,82,357,106,16,2,0,0,Yes,22,Group Stage,No,0,,
25.06.2018,Spain,Morocco,D,2,68,16,4,11,1,7,1,18,1,91,762,103,5,0,0,0,Yes,19,Group Stage,No,0,,
25.06.2018,Morocco,Spain,D,2,32,6,3,2,1,1,1,6,1,84,247,111,17,6,0,0,No,14,Group Stage,No,0,,
25.06.2018,Iran,Portugal,D,1,32,8,2,5,1,1,1,12,3,69,226,93,16,2,0,0,No,90,Group Stage,No,0,,
25.06.2018,Portugal,Iran,D,1,68,14,4,7,3,5,1,17,1,89,619,89,11,4,0,0,Yes,45,Group Stage,No,0,,
26.06.2018,Denmark,France,D,0,38,5,1,2,2,4,1,11,4,72,305,106,10,1,0,0,No,,Group Stage,No,0,,
26.06.2018,France,Denmark,D,0,62,11,4,6,1,2,1,11,1,87,669,104,10,0,0,0,Yes,,Group Stage,No,0,,
26.06.2018,Australia,Peru,L,0,53,14,2,7,5,8,3,13,1,86,555,105,13,4,0,0,No,,Group Stage,No,0,,
26.06.2018,Peru,Australia,W,2,47,4,3,1,0,3,1,16,2,81,418,100,12,2,0,0,Yes,18,Group Stage,No,0,,
26.06.2018,Nigeria,Argentina,L,1,34,9,3,5,1,3,0,17,2,76,244,98,20,2,0,0,No,51,Group Stage,No,0,,
26.06.2018,Argentina,Nigeria,W,2,66,8,4,3,1,5,2,20,2,84,565,101,15,3,0,0,Yes,14,Group Stage,No,0,,
26.06.2018,Iceland,Croatia,L,1,41,17,6,8,3,10,1,12,0,73,324,103,10,3,0,0,Yes,76,Group Stage,No,0,,
26.06.2018,Croatia,Iceland,W,2,59,13,2,8,3,5,0,11,5,87,524,101,12,2,0,0,No,53,Group Stage,No,0,,
27.06.2018,Korea Republic,Germany,W,2,30,11,5,5,1,3,0,8,7,74,237,118,16,4,0,0,Yes,90,Group Stage,No,0,,
27.06.2018,Germany,Korea Republic,L,0,70,26,6,11,9,9,1,16,3,88,719,115,7,0,0,0,No,,Group Stage,No,0,,
27.06.2018,Mexico,Sweden,L,0,65,19,3,8,8,7,2,11,3,83,487,95,14,3,0,0,No,,Group Stage,No,0,1,74
27.06.2018,Sweden,Mexico,W,3,35,13,5,7,1,3,0,16,3,67,212,102,11,2,0,0,Yes,50,Group Stage,No,0,,
27.06.2018,Serbia,Brazil,L,0,44,10,1,5,4,5,2,11,4,78,467,114,13,3,0,0,No,,Group Stage,No,0,,
27.06.2018,Brazil,Serbia,W,2,56,13,6,3,4,9,4,15,1,88,631,105,7,0,0,0,Yes,36,Group Stage,No,0,,
27.06.2018,Switzerland,Costa Rica,D,2,60,12,3,5,4,6,1,15,5,87,594,103,9,3,0,0,Yes,31,Group Stage,No,0,1,90
27.06.2018,Costa Rica,Switzerland,D,2,40,14,6,6,2,5,1,10,1,82,348,103,14,3,0,0,No,56,Group Stage,No,0,,
28.06.2018,Japan,Poland,L,0,54,10,3,4,3,5,1,8,2,86,557,83,11,1,0,0,No,,Group Stage,No,0,,
28.06.2018,Poland,Japan,W,1,46,11,2,5,4,7,0,12,3,83,462,80,8,0,0,0,Yes,59,Group Stage,No,0,,
28.06.2018,Senegal,Colombia,L,0,43,8,3,4,1,1,3,18,1,78,281,97,15,1,0,0,No,,Group Stage,No,0,,
28.06.2018,Colombia,Senegal,W,1,57,4,2,1,1,3,3,18,3,83,431,100,15,1,0,0,Yes,74,Group Stage,No,0,,
28.06.2018,Panama,Tunisia,L,1,36,9,4,4,1,0,4,20,5,77,284,102,18,3,0,0,No,33,Group Stage,No,0,,
28.06.2018,Tunisia,Panama,W,2,64,15,7,4,4,6,1,22,4,87,626,107,19,3,0,0,Yes,51,Group Stage,No,0,1,33
28.06.2018,England,Belgium,L,0,48,13,1,7,5,7,3,15,3,88,484,109,11,0,0,0,No,,Group Stage,No,0,,
28.06.2018,Belgium,England,W,1,52,15,4,4,7,2,1,14,1,88,556,106,14,2,0,0,Yes,51,Group Stage,No,0,,
30.06.2018,France,Argentina,W,4,41,9,4,4,1,0,0,16,1,84,351,97,21,3,0,0,Yes,13,Round of 16,No,0,,
